2024-08-27 17:16:23 UTC | SECURITY | DEBUG | (pkg/util/clusteragent/clusteragent.go:114 in GetClusterAgentClient) | Cluster Agent init error: temporary failure in clusterAgentClient, will retry later: try delay not elapsed yet
2024-08-27 17:16:23 UTC | SECURITY | ERROR | (comp/core/workloadmeta/collectors/internal/kubemetadata/kubemetadata.go:88 in Start) | Could not initialise the communication with the cluster agent: temporary failure in clusterAgentClient, will retry later: try delay not elapsed yet
2024-08-27 17:16:23 UTC | SECURITY | DEBUG | (comp/core/workloadmeta/store.go:563 in startCandidates) | workloadmeta collector "kube_metadata" could not start, but will retry. error: temporary failure in clusterAgentClient, will retry later: try delay not elapsed yet
2024-08-27 17:16:25 UTC | SECURITY | ERROR | (pkg/security/agent/agent.go:110 in StartEventListener) | error while connecting to the runtime security module: rpc error: code = Unavailable desc = connection error: desc = "transport: Error while dialing: dial unix /var/run/sysprobe/runtime-security.sock: connect: no such file or directory", please check that the runtime security module is enabled in the system-probe.yaml config file
2024-08-27 17:16:26 UTC | SECURITY | DEBUG | (pkg/util/kubernetes/kubelet/podwatcher.go:146 in computeChanges) | Found 9 changed pods out of 9
2024-08-27 17:16:26 UTC | SECURITY | DEBUG | (pkg/util/clusteragent/clusteragent.go:253 in GetClusterAgentEndpoint) | Identified service for the Datadog Cluster Agent: kind-datadog-cluster-agent
2024-08-27 17:16:26 UTC | SECURITY | INFO | (pkg/api/security/security.go:194 in getClusterAgentAuthToken) | Using configured cluster_agent.auth_token
2024-08-27 17:16:26 UTC | SECURITY | DEBUG | (pkg/util/clusteragent/clusteragent.go:114 in GetClusterAgentClient) | Cluster Agent init error: temporary failure in clusterAgentClient, will retry later: "https://10.96.66.205:5005/version" is unavailable: 403 Forbidden
2024-08-27 17:16:26 UTC | SECURITY | ERROR | (comp/core/workloadmeta/collectors/internal/kubemetadata/kubemetadata.go:88 in Start) | Could not initialise the communication with the cluster agent: temporary failure in clusterAgentClient, will retry later: "https://10.96.66.205:5005/version" is unavailable: 403 Forbidden
2024-08-27 17:16:26 UTC | SECURITY | DEBUG | (comp/core/workloadmeta/store.go:563 in startCandidates) | workloadmeta collector "kube_metadata" could not start, but will retry. error: temporary failure in clusterAgentClient, will retry later: "https://10.96.66.205:5005/version" is unavailable: 403 Forbidden
