File path                                          | mode  | owner      | group      | error     |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/_opengear.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/_vertiv.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/juniper-qfx.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/kube_apiserver_metrics.d/auto_conf.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/_generic-rtp.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/vmware-esx.yaml | -rw-r--r-- | root       | root       |           |
/opt/datadog-agent/embedded/share/system-probe/ebpf/shared-libraries-debug.o | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/_juniper-virtualchassis.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/aruba.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/audiocodes-mediant-sbc.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/cisco-catalyst.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/auto_conf.yaml    | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/_cisco-wlc.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/_generic-lldp.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/cisco-legacy-wlc.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/synology-disk-station.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/tripplite.yaml | -rw-r--r-- | root       | root       |           |
/opt/datadog-agent/embedded/share/system-probe/ebpf/conntrack-debug.o | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/_f5-big-ip-cpu-memory.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/_generic-host-resources.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/_generic-ip.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/_juniper-junos-generic.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/chrysalis.yaml | -rw-r--r-- | root       | root       |           |
/opt/datadog-agent/embedded/share/system-probe/ebpf/runtime/shared-libraries.c | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/_apc-metadata.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/cisco-asa-5525.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/meraki.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/hive.d/metrics.yaml      | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/_generic-ups.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/alcatel-lucent.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/aruba-wireless-controller.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/brother.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/weblogic.d/metrics.yaml  | -rw-r--r-- | root       | root       |           |
/opt/datadog-agent/embedded/share/system-probe/ebpf/co-re/tracer-debug.o | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/install_info                    | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/_hp.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/dell-powerconnect.yaml | -rw-r--r-- | root       | root       |           |
/opt/datadog-agent/embedded/share/system-probe/ebpf/conntrack.o | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/_generic-host-resources-base.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/_juniper-userfirewall.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/apc_ups.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/cisco-sb.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/cyberpower-pdu.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/hpe-bladesystem-enclosure.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/nasuni-filer.yaml | -rw-r--r-- | root       | root       |           |
/opt/datadog-agent/embedded/share/system-probe/ebpf/co-re/shared-libraries.o | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/servertech.yaml | -rw-r--r-- | root       | root       |           |
/var/log/datadog                                   | drwxrwxrwx | root       | root       |           |
/etc/datadog-agent/conf.d/presto.d/metrics.yaml    | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/_dell.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/cisco-wan-optimizer.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/opengear-infrastructure-manager.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/zebra-printer.yaml | -rw-r--r-- | root       | root       |           |
/opt/datadog-agent/embedded/share/system-probe/ebpf/co-re/shared-libraries-debug.o | -rw-r--r-- | root       | root       |           |
/var/log/datadog/agent.log                         | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/_generic-router-if.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/avtech-roomalert-3e.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/cisco-load-balancer.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/hpe-nimble.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/infoblox-ipam.yaml | -rw-r--r-- | root       | root       |           |
/opt/datadog-agent/embedded/share/system-probe/ebpf/co-re/tcp-queue-length.o | -rw-r--r-- | root       | root       |           |
/var/log/datadog/process-agent.log                 | -rw-r--r-- | root       | root       |           |
/var/log/datadog/security-agent.log                | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/_generic-tcp.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/_generic-udp.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/idrac.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/telemetry.d/conf.yaml.default | -rw-r--r-- | root       | root       |           |
/opt/datadog-agent/embedded/share/system-probe/ebpf/runtime/offsetguess-test.c | -rw-r--r-- | root       | root       |           |
/opt/datadog-agent/embedded/share/system-probe/ebpf/co-re/oom-kill-debug.o | -rw-r--r-- | root       | root       |           |
/opt/datadog-agent/embedded/share/system-probe/ebpf/offset-guess.o | -rw-r--r-- | root       | root       |           |
/opt/datadog-agent/embedded/share/system-probe/ebpf/runtime/tcp-queue-length.c | -rw-r--r-- | root       | root       |           |
/opt/datadog-agent/embedded/share/system-probe/ebpf/runtime-security.o | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/kubernetes_state.d/auto_conf.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/_checkpoint-firewall-cpu-memory.yaml | -rw-r--r-- | root       | root       |           |
